pdf_page,pdf_group,pdf_topic,pdf_words,website_url,http_status,redirect_to,exists,published,indexable,in_sitemap,in_search,in_navigation,hub_linked,inbound_contextual,inbound_hub,own_pdf_text_rendered,topic_match,content_match,content_depth,structure_match,structure_elements,topic_specific_words,context_words,topic_sections_beyond_hero,max_prose_overlap,most_similar_pdf_page,duplication,hero_visual,claims,context_page,status,notes
155,151-180 Permissions and Multi-Tenancy,Manager Permissions,17,/permissions/manager-permissions,200,,yes,published,yes,yes,yes,no,yes,23,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,17,39,0,0.623,157,near-duplicate,folder-access:individual,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 157 /permissions/individual-permissions (prose overlap 0.623)
156,151-180 Permissions and Multi-Tenancy,Editor Permissions,17,/permissions/editor-permissions,200,,yes,published,yes,yes,yes,no,yes,23,1,yes,PASS,PARTIAL,thin,PARTIAL,hero|introduction|features|cta,17,35,0,0.627,158,near-duplicate,folder-access:individual,,,PARTIAL,THIN: topic-specific content is only the 17-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 158 /permissions/organisation-admin-controls (prose overlap 0.627)
157,151-180 Permissions and Multi-Tenancy,Individual Permissions,15,/permissions/individual-permissions,200,,yes,published,yes,yes,yes,no,yes,32,1,yes,PASS,PARTIAL,thin,PARTIAL,hero|introduction|features|cta,15,50,0,0.623,155,near-duplicate,folder-access:individual,,,PARTIAL,THIN: topic-specific content is only the 15-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 155 /permissions/manager-permissions (prose overlap 0.623)
158,151-180 Permissions and Multi-Tenancy,Organisation Admin Controls,11,/permissions/organisation-admin-controls,200,,yes,published,yes,yes,yes,no,yes,31,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,24,24,1,0.627,156,near-duplicate,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 156 /permissions/editor-permissions (prose overlap 0.627)
159,151-180 Permissions and Multi-Tenancy,Creative Access Governance,10,/permissions/creative-access-governance,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,10,0,0,0.635,152,near-duplicate,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 152 /permissions/folder-level-permissions (prose overlap 0.635)
160,151-180 Permissions and Multi-Tenancy,Multi-Tenant Digital Asset Management,16,/permissions/multi-tenant-digital-asset-management,200,,yes,published,yes,yes,yes,no,yes,20,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|use-case|faq|cta,46,63,2,0.748,162,near-duplicate,tenant-boundaries:tenants,multi-tenant,,PARTIAL,Near-duplicate of PDF 162 /permissions/agency-multi-tenancy (prose overlap 0.748)
161,151-180 Permissions and Multi-Tenancy,Client Tenant Isolation,20,/permissions/client-tenant-isolation,200,,yes,published,yes,yes,yes,mega menu,yes,10,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|faq|cta,90,115,3,0.808,167,duplicate,tenant-boundaries:tenants,multi-tenant,,PARTIAL,DUPLICATE of PDF 167 /permissions/client-asset-isolation (prose overlap 0.808)
162,151-180 Permissions and Multi-Tenancy,Agency Multi-Tenancy,14,/permissions/agency-multi-tenancy,200,,yes,published,yes,yes,yes,no,yes,11,1,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|use-case|faq|cta,46,63,2,0.774,168,near-duplicate,tenant-boundaries:tenants,multi-tenant,,PARTIAL,Near-duplicate of PDF 168 /permissions/agency-asset-management (prose overlap 0.774)
163,151-180 Permissions and Multi-Tenancy,Per-Client Storage,11,/permissions/per-client-storage,200,,yes,published,yes,yes,yes,no,yes,14,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|faq|cta,22,95,1,0.649,165,near-duplicate,tenant-boundaries:tenants,per-client-config,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 165 /permissions/per-client-authentication (prose overlap 0.649)
164,151-180 Permissions and Multi-Tenancy,Per-Client AI Keys,10,/permissions/per-client-ai-keys,200,,yes,published,yes,yes,yes,no,yes,14,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|faq|cta,20,88,1,0.569,177,no,tenant-boundaries:tenants,multi-tenant per-client-config,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
165,151-180 Permissions and Multi-Tenancy,Per-Client Authentication,14,/permissions/per-client-authentication,200,,yes,published,yes,yes,yes,no,yes,15,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|faq|cta,28,90,1,0.649,163,near-duplicate,tenant-boundaries:tenants,per-client-config,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 163 /permissions/per-client-storage (prose overlap 0.649)
166,151-180 Permissions and Multi-Tenancy,White-Label Asset Management,11,/permissions/white-label-asset-management,200,,yes,published,yes,yes,yes,no,yes,14,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|faq|cta,11,95,0,0.777,168,near-duplicate,tenant-boundaries:tenants,white-label,,PARTIAL,THIN: topic-specific content is only the 11-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 168 /permissions/agency-asset-management (prose overlap 0.777)
167,151-180 Permissions and Multi-Tenancy,Client Asset Isolation,14,/permissions/client-asset-isolation,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,14,63,0,0.808,161,duplicate,tenant-boundaries:tenants,multi-tenant,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / DUPLICATE of PDF 161 /permissions/client-tenant-isolation (prose overlap 0.808)
168,151-180 Permissions and Multi-Tenancy,Agency Asset Management,12,/permissions/agency-asset-management,200,,yes,published,yes,yes,yes,no,yes,10,1,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|use-case|faq|cta,44,63,2,0.777,166,near-duplicate,tenant-boundaries:tenants,,,PARTIAL,Near-duplicate of PDF 166 /permissions/white-label-asset-management (prose overlap 0.777)
169,151-180 Permissions and Multi-Tenancy,Enterprise Permissions,12,/permissions/enterprise-permissions,200,,yes,published,yes,yes,yes,no,yes,11,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,12,49,0,0.578,176,no,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
170,151-180 Permissions and Multi-Tenancy,Permission Auditing,15,/permissions/permission-auditing,200,,yes,published,yes,yes,yes,no,yes,12,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,15,74,0,0.639,118,near-duplicate,tenant-boundaries:audit,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 118 /features/asset-activity (prose overlap 0.639)
171,151-180 Permissions and Multi-Tenancy,Access History,11,/permissions/access-history,200,,yes,published,yes,yes,yes,no,yes,5,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,11,55,0,0.497,173,no,tenant-boundaries:audit,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
172,151-180 Permissions and Multi-Tenancy,Secure Asset Sharing,14,/permissions/secure-asset-sharing,200,,yes,published,yes,yes,yes,no,yes,4,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,14,79,0,0.683,180,near-duplicate,folder-access:folders,,,PARTIAL,THIN: topic-specific content is only the 14-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 180 /permissions/secure-creative-collaboration (prose overlap 0.683)
173,151-180 Permissions and Multi-Tenancy,Folder Access Maps,12,/permissions/folder-access-maps,200,,yes,published,yes,yes,yes,no,yes,6,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,25,25,1,0.497,171,no,library-activity,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
174,151-180 Permissions and Multi-Tenancy,Creative Security Controls,11,/permissions/creative-security-controls,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|workflow|cta,11,48,0,0.423,180,no,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
175,151-180 Permissions and Multi-Tenancy,Team Access Management,12,/permissions/team-access-management,200,,yes,published,yes,yes,yes,no,yes,32,1,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,87,0,2,0.617,159,near-duplicate,folder-access:team,,,PARTIAL,Near-duplicate of PDF 159 /permissions/creative-access-governance (prose overlap 0.617)
176,151-180 Permissions and Multi-Tenancy,Department Access,13,/permissions/department-access,200,,yes,published,yes,yes,yes,no,yes,24,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,25,14,1,0.578,169,no,folder-access:team,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
177,151-180 Permissions and Multi-Tenancy,Client Workspace Access,9,/permissions/client-workspace-access,200,,yes,published,yes,yes,yes,no,yes,3,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|faq|cta,23,80,1,0.569,164,no,tenant-boundaries:tenants,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
178,151-180 Permissions and Multi-Tenancy,Permission Hierarchies,14,/permissions/permission-hierarchies,200,,yes,published,yes,yes,yes,no,yes,9,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,14,46,0,0.516,154,no,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
179,151-180 Permissions and Multi-Tenancy,Enterprise Asset Governance,11,/permissions/enterprise-asset-governance,200,,yes,published,yes,yes,yes,no,yes,6,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,11,52,0,0.411,159,no,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
180,151-180 Permissions and Multi-Tenancy,Secure Creative Collaboration,16,/permissions/secure-creative-collaboration,200,,yes,published,yes,yes,yes,no,yes,3,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,16,63,0,0.683,172,near-duplicate,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 172 /permissions/secure-asset-sharing (prose overlap 0.683)
181,181-210 Analytics,Creative Asset Analytics,14,/analytics/creative-asset-analytics,200,,yes,published,yes,yes,yes,mega menu,yes,40,4,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,101,10,2,0.523,186,no,library-activity:uploads,,,PASS,
182,181-210 Analytics,Asset Usage Analytics,13,/analytics/asset-usage-analytics,200,,yes,published,yes,yes,yes,mega menu,yes,17,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,13,104,0,0.533,196,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
183,181-210 Analytics,Storage Analytics,13,/analytics/storage-analytics,200,,yes,published,yes,yes,yes,mega menu,yes,16,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,55,0,2,0.384,181,no,library-activity:storage,,,PASS,
184,181-210 Analytics,Upload Analytics,13,/analytics/upload-analytics,200,,yes,published,yes,yes,yes,no,yes,18,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,39,10,2,0.63,186,near-duplicate,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 186 /analytics/tag-analytics (prose overlap 0.63)
185,181-210 Analytics,Contributor Analytics,14,/analytics/contributor-analytics,200,,yes,published,yes,yes,yes,no,yes,17,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,28,0,1,0.532,194,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
186,181-210 Analytics,Tag Analytics,17,/analytics/tag-analytics,200,,yes,published,yes,yes,yes,no,yes,18,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,17,10,0,0.63,184,near-duplicate,library-activity:tags,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 184 /analytics/upload-analytics (prose overlap 0.63)
187,181-210 Analytics,Creative Library Trends,13,/analytics/creative-library-trends,200,,yes,published,yes,yes,yes,no,yes,20,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,35,47,1,0.692,189,near-duplicate,library-activity:cadence,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 189 /analytics/weekly-library-analytics (prose overlap 0.692)
188,181-210 Analytics,Daily Library Analytics,12,/analytics/daily-library-analytics,200,,yes,published,yes,yes,yes,no,yes,20,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,24,26,1,0.516,190,no,library-activity:cadence,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
189,181-210 Analytics,Weekly Library Analytics,11,/analytics/weekly-library-analytics,200,,yes,published,yes,yes,yes,no,yes,20,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,22,22,1,0.692,187,near-duplicate,library-activity:cadence,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 187 /analytics/creative-library-trends (prose overlap 0.692)
190,181-210 Analytics,Monthly Library Analytics,9,/analytics/monthly-library-analytics,200,,yes,published,yes,yes,yes,no,yes,20,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,18,22,1,0.516,188,no,library-activity:cadence,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
191,181-210 Analytics,Asset Activity Dashboard,12,/analytics/asset-activity-dashboard,200,,yes,published,yes,yes,yes,no,yes,10,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,12,60,0,0.522,186,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
192,181-210 Analytics,Storage by Category,14,/analytics/storage-by-category,200,,yes,published,yes,yes,yes,no,yes,6,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,14,0,0,0.461,185,no,library-activity:storage,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
193,181-210 Analytics,Most Searched Tags,11,/analytics/most-searched-tags,200,,yes,published,yes,yes,yes,no,yes,7,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,11,67,0,0.421,181,no,library-activity:tags,,,PARTIAL,THIN: topic-specific content is only the 11-word PDF paragraph in the hero; every other section is neighbouring-topic context
194,181-210 Analytics,Top Contributors,12,/analytics/top-contributors,200,,yes,published,yes,yes,yes,no,yes,8,1,yes,PASS,PARTIAL,thin,PARTIAL,hero|introduction|features|cta,12,36,0,0.532,185,no,library-activity:uploads,,,PARTIAL,THIN: topic-specific content is only the 12-word PDF paragraph in the hero; every other section is neighbouring-topic context
195,181-210 Analytics,Creative Operations Analytics,15,/analytics/creative-operations-analytics,200,,yes,published,yes,yes,yes,no,yes,7,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,15,10,0,0.56,199,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
196,181-210 Analytics,Library Health Analytics,13,/analytics/library-health-analytics,200,,yes,published,yes,yes,yes,no,yes,12,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,13,130,0,0.533,182,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
197,181-210 Analytics,Asset Access Analytics,13,/analytics/asset-access-analytics,200,,yes,published,yes,yes,yes,no,yes,19,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,13,10,0,0.43,204,no,folder-access:team,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
198,181-210 Analytics,Folder Access Analytics,13,/analytics/folder-access-analytics,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,13,93,0,0.396,197,no,folder-access:team,,,PARTIAL,THIN: topic-specific content is only the 13-word PDF paragraph in the hero; every other section is neighbouring-topic context
199,181-210 Analytics,Creative Team Analytics,12,/analytics/creative-team-analytics,200,,yes,published,yes,yes,yes,no,yes,7,1,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,72,10,2,0.56,195,no,library-activity:uploads,,,PASS,
200,181-210 Analytics,Marketing Asset Analytics,14,/analytics/marketing-asset-analytics,200,,yes,published,yes,yes,yes,no,yes,6,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,14,0,0,0.486,185,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
201,181-210 Analytics,Production Analytics,10,/analytics/production-analytics,200,,yes,published,yes,yes,yes,no,yes,6,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,10,10,0,0.514,202,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
202,181-210 Analytics,Agency Analytics,11,/analytics/agency-analytics,200,,yes,published,yes,yes,yes,no,yes,12,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,11,10,0,0.514,201,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
203,181-210 Analytics,Brand Asset Analytics,15,/analytics/brand-asset-analytics,200,,yes,published,yes,yes,yes,no,yes,10,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,15,79,0,0.303,105,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
204,181-210 Analytics,Asset Performance Insights,10,/analytics/asset-performance-insights,200,,yes,published,yes,yes,yes,no,yes,6,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,10,93,0,0.43,197,no,library-activity:uploads,,,PARTIAL,THIN: topic-specific content is only the 10-word PDF paragraph in the hero; every other section is neighbouring-topic context
205,181-210 Analytics,Creative Library Reporting,12,/analytics/creative-library-reporting,200,,yes,published,yes,yes,yes,no,yes,6,1,yes,PASS,PARTIAL,thin,PARTIAL,hero|introduction|features|cta,12,13,0,0.571,206,no,library-activity:uploads,,,PARTIAL,THIN: topic-specific content is only the 12-word PDF paragraph in the hero; every other section is neighbouring-topic context
206,181-210 Analytics,Asset Management Metrics,11,/analytics/asset-management-metrics,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,25,23,1,0.629,208,near-duplicate,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 208 /analytics/creative-workflow-metrics (prose overlap 0.629)
207,181-210 Analytics,Digital Asset KPIs,13,/analytics/digital-asset-kpis,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,thin,PARTIAL,hero|introduction|features|cta,13,40,0,0.137,206,no,library-activity:uploads,,,PARTIAL,THIN: topic-specific content is only the 13-word PDF paragraph in the hero; every other section is neighbouring-topic context
208,181-210 Analytics,Creative Workflow Metrics,14,/analytics/creative-workflow-metrics,200,,yes,published,yes,yes,yes,no,yes,9,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,14,23,0,0.629,206,near-duplicate,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 206 /analytics/asset-management-metrics (prose overlap 0.629)
209,181-210 Analytics,Library Growth Reporting,10,/analytics/library-growth-reporting,200,,yes,published,yes,yes,yes,no,yes,27,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,20,47,1,0.675,187,near-duplicate,library-activity:storage,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 187 /analytics/creative-library-trends (prose overlap 0.675)
210,181-210 Analytics,Executive Asset Analytics,14,/analytics/executive-asset-analytics,200,,yes,published,yes,yes,yes,no,yes,9,1,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,14,11,0,0.073,200,no,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
211,211-240 Use Cases,GetSibu for Production Studios,26,/use-cases/production-studios,200,,yes,published,yes,yes,yes,mega menu,yes,5,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|use-case|cta,26,133,0,0.306,235,no,media-library:video,,,PARTIAL,THIN: topic-specific content is only the 26-word PDF paragraph in the hero; every other section is neighbouring-topic context
212,211-240 Use Cases,GetSibu for Video Teams,29,/use-cases/video-teams,200,,yes,framed,yes,yes,yes,no,yes,5,1,no,PARTIAL,PARTIAL,withheld,PASS,hero|introduction|features|use-case|cta,66,38,2,0.477,216,no,media-library:video,scene-detection,/features/video-version-management,PARTIAL,"Topic (manual): Video versions, timeline comments and AI tagging convey video teams; scene detection withheld. / Framed: own PDF paragraph withheld (claims: scene-detection); verified context from PDF 97"
213,211-240 Use Cases,GetSibu for Marketing Teams,18,/use-cases/marketing-teams,200,,yes,published,yes,yes,yes,mega menu,yes,8,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|use-case|cta,68,115,2,0.445,225,no,"media-library:video,image,document",,,PASS,
214,211-240 Use Cases,GetSibu for Brand Teams,19,/use-cases/brand-teams,200,,yes,published,yes,yes,yes,mega menu,yes,11,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|use-case|cta,82,113,1,0.404,213,no,media-library,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
215,211-240 Use Cases,GetSibu for Creative Agencies,15,/use-cases/creative-agencies,200,,yes,published,yes,yes,yes,mega menu,yes,13,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|use-case|faq|cta,74,71,2,0.297,324,no,media-library,multi-tenant,,PASS,
216,211-240 Use Cases,GetSibu for Post-Production Teams,16,/use-cases/post-production-teams,200,,yes,framed,yes,yes,yes,no,yes,5,1,no,PARTIAL,PARTIAL,withheld,PASS,hero|introduction|features|use-case|cta,0,53,0,0.477,212,no,media-library:video,scene-detection,/features/video-version-management,PARTIAL,Topic (manual): Hero is identical to /use-cases/video-teams (PDF 97); post-production is implied only through video review content. / Framed: own PDF paragraph withheld (claims: scene-detection); verified context from PDF 97
217,211-240 Use Cases,GetSibu for Documentary Teams,16,/use-cases/documentary-teams,200,,yes,framed,yes,yes,yes,no,yes,5,1,no,FAIL,FAIL,absent,PASS,hero|introduction|features|use-case|cta,0,35,0,0.186,216,no,media-library:video,scene-detection,/features/searchable-video-library,FAIL,"Topic (manual): Nothing identifies documentary work: hero is the searchable video library (PDF 25), body is film production."
218,211-240 Use Cases,GetSibu for Film Production,15,/use-cases/film-production,200,,yes,published,yes,yes,yes,mega menu,yes,6,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|use-case|cta,15,89,0,0.389,229,no,media-library:video,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
219,211-240 Use Cases,GetSibu for Advertising Agencies,13,/use-cases/advertising-agencies,200,,yes,published,yes,yes,yes,mega menu,yes,6,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|use-case|cta,13,82,0,0.395,221,no,media-library,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
220,211-240 Use Cases,GetSibu for Creative Studios,13,/use-cases/creative-studios,200,,yes,published,yes,yes,yes,mega menu,yes,6,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|use-case|cta,13,84,0,0.551,226,no,media-library,,,PARTIAL,THIN: topic-specific content is only the 13-word PDF paragraph in the hero; every other section is neighbouring-topic context
221,211-240 Use Cases,GetSibu for Brand Consultancies,11,/use-cases/brand-consultancies,200,,yes,published,yes,yes,yes,mega menu,yes,6,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|use-case|cta,11,111,0,0.395,219,no,media-library:document,,,PARTIAL,THIN: topic-specific content is only the 11-word PDF paragraph in the hero; every other section is neighbouring-topic context
222,211-240 Use Cases,GetSibu for In-House Creative Teams,13,/use-cases/in-house-creative-teams,200,,yes,published,yes,yes,yes,no,yes,6,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|use-case|cta,13,79,0,0.434,227,no,media-library,,,PARTIAL,THIN: topic-specific content is only the 13-word PDF paragraph in the hero; every other section is neighbouring-topic context
223,211-240 Use Cases,GetSibu for Enterprise Marketing,12,/use-cases/enterprise-marketing,200,,yes,published,yes,yes,yes,mega menu,yes,8,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|use-case|cta,12,91,0,0.264,224,no,media-library,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
224,211-240 Use Cases,GetSibu for Global Brands,15,/use-cases/global-brands,200,,yes,published,yes,yes,yes,no,yes,8,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|use-case|cta,15,102,0,0.436,234,no,media-library,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
225,211-240 Use Cases,GetSibu for Multi-Market Teams,11,/use-cases/multi-market-teams,200,,yes,published,yes,yes,yes,no,yes,8,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|use-case|cta,11,55,0,0.682,231,near-duplicate,media-library,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 231 /use-cases/retail-brands (prose overlap 0.682)
226,211-240 Use Cases,GetSibu for Freelancers,14,/use-cases/freelancers,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|use-case|cta,14,84,0,0.551,220,no,media-library,,,PARTIAL,THIN: topic-specific content is only the 14-word PDF paragraph in the hero; every other section is neighbouring-topic context
227,211-240 Use Cases,GetSibu for Content Creators,16,/use-cases/content-creators,200,,yes,published,yes,yes,yes,no,yes,4,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|use-case|cta,16,26,0,0.434,222,no,"media-library:video,image,document",,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
228,211-240 Use Cases,GetSibu for Photography Teams,13,/use-cases/photography-teams,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|use-case|cta,13,89,0,0.423,222,no,media-library:image,,,PARTIAL,THIN: topic-specific content is only the 13-word PDF paragraph in the hero; every other section is neighbouring-topic context
229,211-240 Use Cases,GetSibu for Video Agencies,14,/use-cases/video-agencies,200,,yes,published,yes,yes,yes,mega menu,yes,10,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|use-case|cta,14,45,0,0.389,218,no,media-library:video,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
230,211-240 Use Cases,GetSibu for E-Commerce Brands,12,/use-cases/e-commerce-brands,200,,yes,published,yes,yes,yes,mega menu,yes,7,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|use-case|cta,12,54,0,0.622,231,near-duplicate,"media-library:video,image,document",,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 231 /use-cases/retail-brands (prose overlap 0.622)
